id,nace_kodu,sektor,hedef_yatirim,oncelikli_yatirim,yuksek_teknoloji,orta_yuksek_teknoloji,sartlar,bolge_1,bolge_2,bolge_3,bolge_4,bolge_5,bolge_6,created_at,updated_at
4,01.19.99,Başka yerde sınıflandırılmamış tek yıllık diğer bitkisel ürünlerin yetiştirilmesi,true,true,false,false,"Hedef; 1) Sera Yatırımlarında;
a) 1 ve 2. Bölgelerde asgari 20 dekar,
b) 3. Bölgede asgari 15 dekar,
c) 4 ve 5. Bölgelerde asgari 10 dekar,
d) 6. Bölgede asgari 5 dekar ve üzeri olması şartı aranır.
2) Yapay ışıkla fotosentez sağlanan kontrollü bitkisel üretim yatırımlarında katmanlarının toplam alanının asgari 1.000 m2 olması şartı aranır.
Diğer yatırımlar desteklenmez.
1100,38.21.04,"Tasnif edilmiş metal atıklar, hurdalar ve diğer parçaların genellikle mekanik veya kimyasal değişim işlemleri ile geri kazanılması",true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1101,38.21.05,"Tasnif edilmiş metal dışı atıklar, hurdalar ve diğer parçaların genellikle mekanik veya kimyasal değişim işlemleri ile geri kazanılması (plastik atıkların kimyasal işlemlerle geri kazanılması hariç)",true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1102,38.22,Enerji geri kazanımı,true,false,false,false,,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1103,38.22.00,Enerji geri kazanımı,true,false,false,false,,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1104,38.23,Diğer atık geri kazanımı,true,false,false,false,,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1105,38.23.00,Diğer atık geri kazanımı,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1106,38.3,Geri kazanımsız atık bertarafı,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1107,38.31,Enerji geri kazanımı olmaksızın atıkların yakılması,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1108,38.31.00,Enerji geri kazanımı olmaksızın atıkların yakılması,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1109,38.32,Atıkların düzenli veya kalıcı olarak depolanması,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1110,38.32.03,Tehlikesiz atıkların düzenli veya kalıcı olarak depolanması,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
